# JMH version: 1.37
# VM version: JDK 21.0.10, OpenJDK 64-Bit Server VM, 21.0.10+7-LTS
# VM invoker: /usr/lib/jvm/java-21-amazon-corretto.x86_64/bin/java
# VM options: -Xint
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 3 iterations, 1 s each
# Measurement: 100 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: com.benchmark.DispatchBenchmarkNoJIT.chainDepth128

# Run progress: 0.00% complete, ETA 00:15:27
# Fork: 1 of 1
# Warmup Iteration   1: 64.711 ns/op
# Warmup Iteration   2: 65.426 ns/op
# Warmup Iteration   3: 64.696 ns/op
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: com.benchmark.DispatchBenchmarkNoJIT.chainDepth64

# Run progress: 55.56% complete, ETA 00:06:53
# Fork: 1 of 1
# Warmup Iteration   1: 67.508 ns/op
# Warmup Iteration   2: 67.519 ns/op
# Warmup Iteration   3: 67.510 ns/op
Iteration   1: 67.510 ns/op
Iteration   2: 67.507 ns/op
Iteration   3: 67.510 ns/op
Iteration   4: 67.521 ns/op
Iteration   5: 67.551 ns/op
Iteration   6: 67.493 ns/op
Iteration   7: 67.482 ns/op
Iteration   8: 67.503 ns/op
Iteration   9: 67.493 ns/op
Iteration  10: 67.514 ns/op
Iteration  11: 67.504 ns/op
Iteration  12: 67.503 ns/op
Iteration  13: 67.487 ns/op
Iteration  14: 67.499 ns/op
Iteration  15: 67.510 ns/op
Iteration  16: 67.506 ns/op
Iteration  17: 67.521 ns/op
Iteration  18: 67.503 ns/op
Iteration  19: 67.505 ns/op
Iteration  20: 67.506 ns/op
Iteration  21: 67.520 ns/op
Iteration  22: 67.506 ns/op
Iteration  23: 67.491 ns/op
Iteration  24: 67.496 ns/op
Iteration  25: 67.491 ns/op
Iteration  26: 67.818 ns/op
Iteration  27: 67.527 ns/op
Iteration  28: 67.496 ns/op
Iteration  29: 67.487 ns/op
Iteration  30: 67.513 ns/op
Iteration  31: 67.493 ns/op
Iteration  32: 67.493 ns/op
Iteration  33: 67.494 ns/op
Iteration  34: 67.519 ns/op
Iteration  35: 67.502 ns/op
Iteration  36: 67.523 ns/op
Iteration  37: 67.544 ns/op
Iteration  38: 67.503 ns/op
Iteration  39: 67.476 ns/op
Iteration  40: 67.527 ns/op
Iteration  41: 67.495 ns/op
Iteration  42: 67.492 ns/op
Iteration  43: 67.484 ns/op
Iteration  44: 67.503 ns/op
Iteration  45: 67.501 ns/op
Iteration  46: 67.504 ns/op
Iteration  47: 69.141 ns/op
Iteration  48: 67.494 ns/op
Iteration  49: 67.494 ns/op
Iteration  50: 67.494 ns/op
Iteration  51: 67.494 ns/op
Iteration  52: 67.516 ns/op
Iteration  53: 67.506 ns/op
Iteration  54: 67.499 ns/op
Iteration  55: 67.510 ns/op
Iteration  56: 67.490 ns/op
Iteration  57: 67.552 ns/op
Iteration  58: 67.507 ns/op
Iteration  59: 67.489 ns/op
Iteration  60: 67.504 ns/op
Iteration  61: 67.503 ns/op
Iteration  62: 67.506 ns/op
